Player,Team,POS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS
Pittsburgh Steelers,,DST,48.5,15.1,14.8,21.4,3.4,0,300.2,5096.7,128.5
San Francisco 49ers,,DST,48.5,13.9,15.4,21.8,3.1,0,308.8,5056.3,125.6
New Orleans Saints,,DST,46.1,14.3,12.3,17.4,3.1,1,337.1,5486.3,120.1
New England Patriots,,DST,44.3,17.7,10.8,15.9,3.1,0,299.9,5148.7,119.8
Baltimore Ravens,,DST,42.6,16.7,12.1,17.8,3,0,306.9,5061.6,118
Tampa Bay Buccaneers,,DST,41,14.2,15.1,21.4,3,0,368,5215.3,117.2
Philadelphia Eagles,,DST,41.3,16.4,11.1,15.9,2.9,0,355.1,5495.4,113.7
Minnesota Vikings,,DST,41.6,13.9,13.4,19.3,2.8,0,322,5339.8,113.1
Washington Redskins,,DST,46.1,13.2,10.5,14.7,2.9,1,390.4,5643.3,113
Los Angeles Rams,,DST,44.5,13.8,11.9,17.2,2.9,0,365.8,5484.7,113
Buffalo Bills,,DST,41.9,14.4,11.7,17.3,3.1,0,283,4888.5,112.6
Seattle Seahawks,,DST,35.3,14.1,13.2,18.5,3,0,369.1,5760.2,107.8
Indianapolis Colts,,DST,44.3,12.2,11.1,16.4,2.8,0,336.4,5400.3,107.5
Kansas City Chiefs,,DST,41,14.2,9.8,14.1,3,0,331.8,5533,107
Carolina Panthers,,DST,46.7,12.7,9.2,13.7,2.7,0,422.7,5607.1,106.5
Cleveland Browns,,DST,39.9,14.9,10,14.3,2.7,0,366,5738,105.8
Green Bay Packers,,DST,41,14.6,9.3,13.4,2.6,0,363.3,5712.6,104.7
Detroit Lions,,DST,33.2,13.9,11.6,16.9,3.3,0,347.6,5603.5,104.2
Jacksonville Jaguars,,DST,39.5,13.2,10.9,16,2.7,0,416.5,5969.5,104.1
Arizona Cardinals,,DST,39.6,12.1,12.1,17.4,2.6,0,383.9,5803,103.5
Denver Broncos,,DST,40.5,13.4,9.7,14.4,2.6,0,319.8,5263.5,102.3
Dallas Cowboys,,DST,37.6,12.2,12.1,17.1,2.6,0,342.9,5557.7,102
New York Jets,,DST,35.2,13.9,10.9,15.8,2.7,0,360.3,5292.6,101.3
Chicago Bears,,DST,34.3,12.4,11.4,16.8,2.9,0,328.2,5237.6,99.1
Houston Texans,,DST,33.5,12.5,12.2,17.4,2.7,0,366,5774.2,98.8
New York Giants,,DST,36.5,14.4,8.3,12.3,2.7,0,407.1,5758.7,97.8
Cincinnati Bengals,,DST,35.4,14.3,8.8,13.1,2.7,0,400,6011.3,97.5
Tennessee Titans,,DST,37,14,8.3,12.3,2.6,0,337.2,5540.5,97
Miami Dolphins,,DST,28.9,16,8.2,12.2,3.1,0,386.6,5600.9,96.1
Atlanta Falcons,,DST,33.6,12.4,10,15,2.8,0,405.6,5870,95.3
Las Vegas Raiders,,DST,37.3,12.7,8.1,12.5,2.4,0,378.1,5855.4,93.5
Los Angeles Chargers,,DST,36.5,12,7.4,10.7,2.8,0,316.6,5183.1,92
