Player,Team,POS,FG,FGA,XPT,FPTS
Wil Lutz,NO,K,30.5,34.6,47.9,139.4
Harrison Butker,KC,K,28.8,33.4,48.2,134.5
Justin Tucker,BAL,K,29,31.7,47,133.9
Robbie Gould,SF,K,28.6,33.9,42.5,128.5
Greg Zuerlein,DAL,K,27.4,33.5,42.6,124.7
Jake Elliott,PHI,K,26.8,30.7,42,122.5
Brandon McManus,DEN,K,27.7,32,37.3,120.3
Younghoe Koo,ATL,K,27.5,32.2,36.2,118.7
Matt Prater,DET,K,26.3,31.2,37.4,116.4
Chris Boswell,PIT,K,26.6,30.5,36,115.8
Matt Gay,TB,K,25.2,31,39.8,115.4
Zane Gonzalez,ARI,K,25.7,31.2,37.8,115
Sam Sloman,LAR,K,26.6,33,35.1,114.7
Dan Bailey,MIN,K,25.6,29.5,35.6,112.5
Austin Seibert,CLE,K,26,30.5,34.2,112.2
Chase McLaughlin,IND,K,24.2,29,38.6,111.1
Michael Badgley,LAC,K,25.4,30.5,35,111.1
Jason Myers,SEA,K,24,29.6,38.7,110.8
Stephen Hauschka,BUF,K,26,31.5,32.9,110.8
Ka'imi Fairbairn,HOU,K,24.3,29.5,35.5,108.5
Mason Crosby,GB,K,23,26.7,38.7,107.8
Jason Sanders,MIA,K,24.4,30.2,33.2,106.3
Josh Lambo,JAC,K,26.2,28.3,27,105.6
Joey Slye,CAR,K,24.6,29.5,31.8,105.4
Randy Bullock,CIN,K,24.1,27.8,30.9,103.1
Justin Rohrwasser,NE,K,23.3,27.8,30.6,100.5
Aldrick Rosas,NYG,K,22.3,28,33.4,100.3
Daniel Carlson,LV,K,22.3,28.7,30.9,97.7
Greg Joseph,TEN,K,19.8,23.7,37.9,97.4
Dustin Hopkins,WAS,K,22.8,27.2,28.7,97.2
Brett Maher,NYJ,K,22.1,29.3,28.2,94.6
Eddy Pineiro,CHI,K,20.9,25.6,26.2,89
Lirim Hajrullahu,LAR,K,10,13,12,42
Austin MacGinnis,LAR,K,10,13,12,42
Tyler Bass,BUF,K,0,0,0,0
Sam Ficken,NYJ,K,0,0,0,0
Graham Gano,CAR,K,0,0,0,0
Kai Forbath,DAL,K,0,0,0,0
